epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,8465.77,0.2818,0.42115,0.93564,0.75647,0.73624,0.80163,0.76256,0.38324,0.72679,0.8197,0.007954,0.007954,0.007954
64,8654.34,0.2783,0.42042,0.93421,0.78171,0.73459,0.80411,0.76185,0.39341,0.71699,0.83335,0.007921,0.007921,0.007921
65,8805.62,0.27572,0.41806,0.93327,0.7674,0.75689,0.81189,0.77011,0.39894,0.70631,0.83223,0.007888,0.007888,0.007888
66,8920.61,0.27565,0.41684,0.93274,0.80085,0.69654,0.79863,0.75396,0.40512,0.75134,0.84573,0.007855,0.007855,0.007855
67,9010.45,0.27621,0.41307,0.93368,0.76205,0.70342,0.79049,0.74998,0.40153,0.73616,0.84376,0.007822,0.007822,0.007822
68,9103.71,0.27281,0.41433,0.93216,0.80946,0.65992,0.79664,0.7576,0.39484,0.71144,0.83381,0.007789,0.007789,0.007789
69,9200.59,0.2728,0.41239,0.93109,0.75601,0.74738,0.79469,0.7537,0.39321,0.71323,0.83455,0.007756,0.007756,0.007756
70,9290.72,0.26892,0.40772,0.93058,0.73462,0.78589,0.80997,0.77002,0.397,0.71164,0.8428,0.007723,0.007723,0.007723
71,9382.99,0.26775,0.40469,0.93035,0.73609,0.79115,0.82115,0.77905,0.3987,0.70419,0.84839,0.00769,0.00769,0.00769
72,9474.54,0.26978,0.39804,0.92949,0.74788,0.79044,0.81825,0.77798,0.40225,0.70521,0.85374,0.007657,0.007657,0.007657
73,9564.43,0.26714,0.39821,0.92797,0.81608,0.73559,0.81935,0.77735,0.3978,0.69862,0.84759,0.007624,0.007624,0.007624
74,9654.45,0.26588,0.39698,0.92887,0.74778,0.7694,0.80692,0.76727,0.39727,0.71615,0.84838,0.007591,0.007591,0.007591
75,9745.08,0.26306,0.39507,0.92881,0.78273,0.75468,0.80052,0.75963,0.40112,0.71485,0.853,0.007558,0.007558,0.007558
76,9835.49,0.26663,0.39265,0.93004,0.79545,0.74258,0.79514,0.75321,0.40719,0.72212,0.85965,0.007525,0.007525,0.007525
77,9974.08,0.26413,0.39282,0.92885,0.76711,0.73695,0.79618,0.75523,0.40236,0.72611,0.85073,0.007492,0.007492,0.007492
78,10067,0.26647,0.39762,0.92802,0.74888,0.74723,0.79537,0.75359,0.40523,0.7169,0.85478,0.007459,0.007459,0.007459
79,10173.6,0.26473,0.38339,0.92649,0.82357,0.7053,0.78587,0.74441,0.40352,0.72965,0.85105,0.007426,0.007426,0.007426
80,10288.2,0.26108,0.38821,0.92854,0.84046,0.69952,0.78734,0.74639,0.3964,0.71116,0.84243,0.007393,0.007393,0.007393
81,10377.7,0.25984,0.37852,0.92721,0.8381,0.70072,0.79337,0.75347,0.39545,0.70224,0.84304,0.00736,0.00736,0.00736
